id,name,email,amount,category,date,status
66669,User66669,user66669@example.com,340.80,Sports,2025-10-25,pending
66670,User66670,user66670@example.com,216.92,Toys,2026-06-17,pending
66671,User66671,user66671@example.com,230.73,Sports,2025-12-23,active
66672,User66672,user66672@example.com,586.97,Fashion,2025-06-13,active
66673,User66673,user66673@example.com,971.73,Books,2026-08-23,pending
66674,User66674,user66674@example.com,22.36,Toys,2025-12-25,active
66675,User66675,user66675@example.com,517.73,Sports,2026-02-01,cancelled
66676,User66676,user66676@example.com,420.57,Books,2025-10-16,pending
66677,User66677,user66677@example.com,366.37,Books,2025-02-11,active
66678,User66678,user66678@example.com,395.14,Automotive,2025-01-01,active
66679,User66679,user66679@example.com,865.58,Garden,2025-11-02,inactive
66680,User66680,user66680@example.com,780.94,Health,2025-09-25,cancelled
66681,User66681,user66681@example.com,306.48,Garden,2026-03-13,cancelled
66682,User66682,user66682@example.com,562.25,Home,2025-01-13,pending
66683,User66683,user66683@example.com,151.55,Electronics,2025-10-15,active
66684,User66684,user66684@example.com,917.93,Electronics,2026-10-14,active
66685,User66685,user66685@example.com,607.06,Electronics,2026-03-17,active
66686,User66686,user66686@example.com,259.87,Health,2025-05-27,active
66687,User66687,user66687@example.com,57.16,Toys,2026-09-11,active
66688,User66688,user66688@example.com,676.91,Food,2026-03-14,active
66689,User66689,user66689@example.com,247.94,Home,2026-12-19,inactive
66690,User66690,user66690@example.com,224.87,Toys,2025-07-14,active
66691,User66691,user66691@example.com,818.23,Electronics,2025-10-15,inactive
66692,User66692,user66692@example.com,684.65,Home,2025-07-02,cancelled
66693,User66693,user66693@example.com,130.57,Automotive,2025-01-17,active
66694,User66694,user66694@example.com,598.77,Health,2025-03-30,active
66695,User66695,user66695@example.com,601.82,Electronics,2026-04-05,pending
66696,User66696,user66696@example.com,439.86,Automotive,2025-02-14,pending
66697,User66697,user66697@example.com,786.16,Garden,2025-08-18,cancelled
66698,User66698,user66698@example.com,279.86,Automotive,2026-10-03,cancelled
66699,User66699,user66699@example.com,989.35,Books,2025-06-08,active
66700,User66700,user66700@example.com,923.14,Sports,2025-09-25,active
66701,User66701,user66701@example.com,984.09,Automotive,2025-12-29,pending
66702,User66702,user66702@example.com,502.60,Toys,2026-12-09,inactive
66703,User66703,user66703@example.com,153.50,Electronics,2026-06-07,inactive
66704,User66704,user66704@example.com,250.56,Books,2026-02-19,pending
66705,User66705,user66705@example.com,817.54,Books,2025-03-23,active
66706,User66706,user66706@example.com,657.90,Automotive,2025-09-07,pending
66707,User66707,user66707@example.com,526.53,Garden,2025-08-07,inactive
66708,User66708,user66708@example.com,620.83,Food,2026-09-16,cancelled
66709,User66709,user66709@example.com,38.04,Sports,2026-05-26,inactive
66710,User66710,user66710@example.com,757.21,Fashion,2026-12-15,cancelled
66711,User66711,user66711@example.com,53.91,Books,2026-02-11,cancelled
66712,User66712,user66712@example.com,146.89,Electronics,2026-09-07,active
66713,User66713,user66713@example.com,456.03,Home,2025-12-07,active
66714,User66714,user66714@example.com,429.08,Automotive,2025-09-11,cancelled
66715,User66715,user66715@example.com,511.86,Automotive,2026-04-29,cancelled
66716,User66716,user66716@example.com,218.72,Books,2026-01-23,pending
66717,User66717,user66717@example.com,565.05,Food,2026-11-20,pending
